stage,category,tier,cost,use,name,url,status,notes
type,fonts,more,free,"asset, respect the font licence (often OFL)",Free Typography,https://freetypography.com,unverified,A list of high quality fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Leon Sans,https://github.com/cmiscm/leonsans,unverified,A geometric sans-serif typeface made with code |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Lexend,https://www.lexend.com,unverified,A variable font empirically shown to significantly improve reading-proficiency |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fonts for Apple Platforms,https://developer.apple.com/fonts,unverified,"Get the details, frameworks, and tools you need to use system fonts for Apple platforms in your apps |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",SFWin,https://github.com/blaisck/sfwin,unverified,San Francisco Fonts for Windows 10 and non-Apple Platform |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Flipper,https://fontflipper.com,unverified,"Preview 800+ Google Fonts on top of your own designs, without having to download the fonts |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fonts Arena,https://fontsarena.com,unverified,Free curated fonts |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Befonts,https://befonts.com,unverified,High quality fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Arabic fonts,https://arabicfonts.net,unverified,Arabic fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontDrop,https://fontdrop.info,unverified,Simple and easy way to view the contents of font files |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Open Foundry,https://open-foundry.com,unverified,FREE platform for curated open-source typefaces |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Glyphter,https://glyphter.com,unverified,Upload your own SVGS and turn them into font files. Useful if you want a smaller library loaded |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Google Webfonts Helper,https://google-webfonts-helper.herokuapp.com/fonts,unverified,A Hassle-Free Way to Self-Host Google Fonts |
type,fonts,more,freemium,"asset, respect the font licence (often OFL)",Rough Font Awesome,https://djamshed.github.io/rough-awesome-font/dist,unverified,When RoughJS meets Font Awesome |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FFonts,https://ffonts.net,unverified,Stylish fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Malayalam Fonts,https://smc.org.in/fonts,unverified,Malayalam fonts for free which are maintained by Swathanthra Malayalam Computing(SMC) |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Dev Fonts,https://devfonts.gafi.dev,unverified,Find and use the coding fonts for free |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font M,https://fontm.com,unverified,Free font you can download for material coding and design |
type,fonts,more,free,"asset, respect the font licence (often OFL)",W Fonts,https://www.wfonts.com,unverified,Download Free fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Modern fluid typography editor,https://modern-fluid-typography.vercel.app,unverified,Fluid typography is a modern way of approaching responsive typography. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",UrbanFonts,https://www.urbanfonts.com,unverified,A collection of over 8000 free fonts and dingbats |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Typespiration,https://typespiration.com,unverified,Inspirational font combinations and color palettes |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fontsource,https://fontsource.org,unverified,Self-host Open Source fonts in neatly bundled NPM packages. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontBolt,https://www.fontbolt.com,unverified,Discover and generate your favorite fonts from pop culture. |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontsWiki,https://fontswiki.com,unverified,"Free typography resource with font downloads, pairing guides, and font-in-use references for logos, films, games, and de"
type,fonts,top,free,"asset, respect the font licence (often OFL)",Fontshare,https://www.fontshare.com,unverified,"Fontshare is a free fonts service from the Indian Type Foundry (ITF), making quality fonts accessible to all. |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Bunny Fonts,https://fonts.bunny.net,unverified,"Privacy-focused Google Fonts alternative, GDPR compliant with faster CDN |"
color,color-tools,more,free,"tool, the palette you make is yours",PaletteForge,https://paletteforge.io,unverified,Generate beautiful color palettes from different categories.
color,color-tools,more,free,"tool, the palette you make is yours",Colorlab,https://getcolorlab.com,unverified,"Create color palette, gradients, color scales, check contrast all in one place."
color,color-tools,more,free,"tool, the palette you make is yours",Color Brewer 2,https://colorbrewer2.org,unverified,"The original color palette generator, also supporting color blindness. Probably the scientifically best option. Also pro"
color,color-tools,more,free,"tool, the palette you make is yours",Huetone,https://github.com/ardov/huetone,unverified,A tool to create accessible color systems. |
color,color-tools,more,free,"tool, the palette you make is yours",Colormind.io,http://colormind.io,unverified,Color palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",ColorCurves.app,https://colorcurves.app,unverified,Color palette generator that uses curves to generate color palettes |
color,color-tools,more,free,"tool, the palette you make is yours",ColorGradient,https://colorgradient.dev,unverified,A free tool to create simple and complex CSS Gradients visually |
color,color-tools,top,free,"tool, the palette you make is yours",Coolors,https://coolors.co,unverified,Create the perfect palette or get inspired by thousands of beautiful color schemes |
color,color-tools,more,free,"tool, the palette you make is yours",UI Colors,https://uicolors.app/create,unverified,Tailwind CSS color palette generator |
color,color-tools,more,free,"tool, the palette you make is yours",HTML Color Codes,https://htmlcolorcodes.com,unverified,"Get HTML color codes, Hex color codes, RGB and HSL values with our color picker, color chart and HTML color names |"
color,color-tools,more,free,"tool, the palette you make is yours",Colors & Fonts,https://www.colorsandfonts.com,unverified,"A curated library of colors, fonts and resources |"
color,color-tools,more,free,"tool, the palette you make is yours",Palette List,https://www.palettelist.com,unverified,Pick 2 colors you like and the tool generates thousands of palettes for you. |
